Date,Total Lifting Weeks,Week,Cycle Week,Exercise,Focus,Type,Pause,Sets,Reps,Intensity,Weight,RPE,All_Reps,uploaded_video,video_name,vid_url
15-Oct,11,4,6,Competition Squat,Squat,Competition,n,2,5,,225,6,y,n,,
15-Oct,11,4,6,Competition Pause Bench,Bench,Competition,n,5,3,,215,8,y,n,,
15-Oct,11,4,6,Competition Pause Bench,Bench,Competition,n,3,5,,185,6,y,n,,
15-Oct,11,4,6,Straight Leg Deadlift,Deadlift,Straight Leg,n,4,8,,80,8,y,n,,
15-Oct,11,4,6,Side Plank,Accessory,,,4,30,,,10,n,n,,
16-Oct,11,4,6,Competition Deadlift,Deadlift,Competition,n,4,3,,170,8,y,n,,
16-Oct,11,4,6,Competition Deadlift,Deadlift,Competition,n,2,5,,145,6,y,n,,
16-Oct,11,4,6,2ct Pause Bench,Bench,Pause,y,4,3,,195,8,y,n,,
16-Oct,11,4,6,Competition Squat,Squat,Competition,n,3,5,,220,6,y,n,,
16-Oct,11,4,6,Wide Grip Seated Row,Accessory,,,4,10,,150,8,y,n,,
18-Oct,11,4,6,2ct Pause Squat,Squat,Pause,y,5,3,,245,8.5,y,n,,
18-Oct,11,4,6,Competition Pause Bench,Bench,Competition,n,6,4,,195,6,y,n,,
18-Oct,11,4,6,Feet Up Bench,Bench,Feet Up,n,3,4,,180,8,y,n,,
18-Oct,11,4,6,Competition Deadlift,Deadlift,Competition,n,3,5,,140,5,y,n,,
18-Oct,11,4,6,Pulldown,Accessory,,,4,10,,135,6,y,n,,
19-Oct,11,4,6,2ct Pause Deadlift,Deadlift,Pause,y,5,3,,155,8,y,n,,
19-Oct,11,4,6,Touch and Go Bench,Bench,Touch and Go,n,3,12,,175,9.5,y,n,,
19-Oct,11,4,6,Close Grip Incline Bench,Bench,Incline,n,4,7,,120,8,y,n,,
19-Oct,11,4,6,1-Arm DB Row,Accessory,,,6,10,,60,9,y,n,,
22-Oct,12,5,7,Competition Squat,Squat,Competition,n,5,2,,280,8.5,y,n,,
22-Oct,12,5,7,Competition Squat,Squat,Competition,n,2,4,,235,6,y,n,,
22-Oct,12,5,7,Competition Pause Bench,Bench,Competition,n,5,2,,235,9,y,n,,
22-Oct,12,5,7,Competition Pause Bench,Bench,Competition,n,2,4,,190,5,y,n,,
22-Oct,12,5,7,Straight Leg Deadlift,Deadlift,Straight Leg,n,4,8,,80,8,y,n,,
22-Oct,12,5,7,Side Plank,Accessory,,,4,30,,,10,n,n,,
23-Oct,12,5,7,Competition Deadlift,Deadlift,Competition,n,5,2,,182,8.5,y,n,,
23-Oct,12,5,7,Competition Deadlift,Deadlift,Competition,n,2,4,,150,8,y,n,,
23-Oct,12,5,7,2ct Pause Bench,Bench,Pause,y,3,3,,205,8.5,y,n,,
23-Oct,12,5,7,Competition Squat,Squat,Competition,n,2,5,,230,5,y,n,,
23-Oct,12,5,7,Wide Grip Seated Row,Accessory,,,4,8,,150,7,y,n,,
25-Oct,12,5,7,2ct Pause Squat,Squat,Pause,y,4,5,,240,9,y,n,,
25-Oct,12,5,7,Competition Pause Bench,Bench,Competition,n,6,3,,205,7,y,n,,
25-Oct,12,5,7,Feet Up Bench,Bench,Feet Up,n,4,3,,190,7.5,y,n,,
25-Oct,12,5,7,Competition Deadlift,Deadlift,Competition,n,2,5,,150,8,y,n,,
25-Oct,12,5,7,Pulldown,Accessory,,,4,8,,150,8,y,n,,
26-Oct,12,5,7,2ct Pause Deadlift,Deadlift,Pause,y,4,5,,150,8.5,y,n,,
26-Oct,12,5,7,Touch and Go Bench,Bench,Touch and Go,n,4,7,,190,8.5,y,n,,
26-Oct,12,5,7,Close Grip Incline Bench,Bench,Incline,n,5,6,,130,9,y,n,,
26-Oct,12,5,7,1-Arm DB Row,Accessory,,,6,8,,65,8,y,n,,
29-Oct,13,6,8,Competition Squat,Squat,Competition,n,4,3,,275,9,y,n,,
29-Oct,13,6,8,Competition Squat,Squat,Competition,n,3,4,,245,7.5,y,n,,
29-Oct,13,6,8,Competition Pause Bench,Bench,Competition,n,5,3,,225,9,y,n,,
29-Oct,13,6,8,Competition Pause Bench,Bench,Competition,n,3,4,,200,7,y,n,,
29-Oct,13,6,8,Straight Leg Deadlift,Deadlift,Straight Leg,n,4,7,,75,8,y,n,,
29-Oct,13,6,8,Side Plank,Accessory,,,4,30,,,10,y,n,,
30-Oct,13,6,8,Competition Deadlift,Deadlift,Competition,n,4,3,,180,9,y,n,,
30-Oct,13,6,8,Competition Deadlift,Deadlift,Competition,n,3,4,,155,6.5,y,n,,
30-Oct,13,6,8,2ct Pause Bench,Bench,Pause,y,4,4,,195,7,y,n,,
30-Oct,13,6,8,Competition Squat,Squat,Competition,n,2,4,,240,6,y,n,,
30-Oct,13,6,8,Wide Grip Seated Row,Accessory,,,4,8,,150,8,y,n,,
2-Nov,13,6,8,2ct Pause Squat,Squat,Pause,y,4,2,,265,9,y,n,,
2-Nov,13,6,8,Touch and Go Bench,Bench,Touch and Go,n,4,5,,210,8.5,y,n,,
2-Nov,13,6,8,Close Grip Incline Bench,Bench,Incline,n,4,10,,110,8.5,y,n,,
2-Nov,13,6,8,1-Arm DB Row,Accessory,,,5,8,,70,8,y,n,,
5-Nov,14,7,9,Competition Squat,Squat,Competition,n,5,4,,265,8.5,y,n,,
5-Nov,14,7,9,Competition Squat,Squat,Competition,n,2,4,,230,6,y,n,,
5-Nov,14,7,9,Competition Pause Bench,Bench,Competition,n,6,4,,220,9,y,n,,
5-Nov,14,7,9,Competition Pause Bench,Bench,Competition,n,2,4,,195,6,y,n,,
5-Nov,14,7,9,Bent Over Row,Accessory,,,4,8,,155,7,y,n,,
5-Nov,14,7,9,Rolling Plank ,Accessory,,,3,20,,,9,y,n,,
6-Nov,14,7,9,Competition Deadlift,Deadlift,Competition,n,4,4,,176,9,y,n,,
6-Nov,14,7,9,Competition Deadlift,Deadlift,Competition,n,2,4,,152,6,y,n,,
6-Nov,14,7,9,Pin Bench,Bench,Pin,n,4,4,,210,8.5,y,n,,
6-Nov,14,7,9,Competition Squat,Squat,Competition,n,3,5,,225,5,y,n,,
6-Nov,14,7,9,Wide Grip Seated Row,Accessory,,,4,8,,155,8,y,n,,
8-Nov,14,7,9,2ct Pause Squat,Squat,Pause,n,1+2F,4,,265,8.5,y,n,,
8-Nov,14,7,9,Competition Pause Bench,Bench,Competition,n,6,5,,190,6,y,n,,
8-Nov,14,7,9,Close Grip Bench,Bench,Close Grip,n,1+2R,4,,200,8,y,n,,
8-Nov,14,7,9,Competition Deadlift,Deadlift,Competition,n,2,5,,145,6,y,n,,
8-Nov,14,7,9,Pulldown,Accessory,,,4,8,,145,8,y,n,,
9-Nov,14,7,9,2ct Pause Deadlift,Deadlift,Pause,y,1+2F,4,,170,9,y,n,,
9-Nov,14,7,9,Barbell Overhead Press,Accessory,,,1+3R,7,,85,7,y,n,,
9-Nov,14,7,9,1-Arm DB Row,Accessory,,,5,8,,70,8.5,y,n,,
12-Nov,15,8,10,Competition Squat,Squat,Competition,n,6,3,,275,8.5,y,n,,
12-Nov,15,8,10,Competition Squat,Squat,Competition,n,2,4,,240,6,y,n,,
12-Nov,15,8,10,Competition Pause Bench,Bench,Competition,n,7,4,,225,9.5,y,n,,
12-Nov,15,8,10,Competition Pause Bench,Bench,Competition,n,2,4,,195,6,y,n,,
12-Nov,15,8,10,Bent Over Row,Accessory,,,4,6,,175,9,y,n,,
12-Nov,15,8,10,Plank,Accessory,,,4,1,,1,8,y,n,,
13-Nov,15,8,10,Competition Deadlift,Deadlift,Competition,n,5,3,,185,9,y,n,,
13-Nov,15,8,10,Competition Deadlift,Deadlift,Competition,n,2,4,,160,7,y,n,,
13-Nov,15,8,10,Pin Bench,Bench,Pin,n,4,5,,205,8.5,y,n,,
13-Nov,15,8,10,Competition Squat,Squat,Competition,n,3,5,,230,5,y,n,,
13-Nov,15,8,10,Wide Grip Seated Row,Accessory,,,4,8,,155,8,y,n,,
15-Nov,15,8,10,2ct Pause Squat,Squat,Pause,n,1+3F,2,,280,8.5,y,n,,
15-Nov,15,8,10,Competition Pause Bench,Bench,Competition,n,6,4,,200,7,y,n,,
15-Nov,15,8,10,Close Grip Bench,Bench,Close Grip,n,1+1F,3,,220,9,y,n,,
15-Nov,15,8,10,Competition Deadlift,Deadlift,Competition,n,3,5,,152,6,y,n,,
15-Nov,15,8,10,Pulldown,Accessory,,,4,8,,155,7,y,n,,
16-Nov,15,8,10,2ct Pause Deadlift,Deadlift,Pause,y,1+3F,2,,190,9.5,y,n,,
16-Nov,15,8,10,Dumbell Bench,Bench,Dumbell,n,1+1F,7,,100,8,y,n,,
16-Nov,15,8,10,Barbell Overhead Press,Accessory,,,1+2R,8,,90,8.5,y,n,,
16-Nov,15,8,10,1-Arm DB Row,Accessory,,,5,8,,70,9,y,n,,
19-Nov,16,9,11,Competition Squat,Squat,Competition,n,3,3,,275,7,y,n,,
19-Nov,16,9,11,Competition Squat,Squat,Competition,n,2,4,,245,5,y,n,,
19-Nov,16,9,11,Competition Pause Bench,Bench,Competition,n,3,3,,220,8,y,n,,
19-Nov,16,9,11,Competition Pause Bench,Bench,Competition,n,2,4,,200,8,y,n,,
19-Nov,16,9,11,Bent Over Row,Accessory,,,4,5,,185,9,y,n,,
19-Nov,16,9,11,Plank,Accessory,,,4,1,,1,8,y,n,,
20-Nov,16,9,11,Competition Deadlift,Deadlift,Competition,n,3,3,,175,8,y,n,,
20-Nov,16,9,11,Competition Deadlift,Deadlift,Competition,n,2,4,,160,7,y,n,,
20-Nov,16,9,11,Pin Bench,Bench,Pin,n,4,3,,225,9,y,n,,
20-Nov,16,9,11,Competition Squat,Squat,Competition,n,3,4,,245,5,y,n,,
20-Nov,16,9,11,Wide Grip Seated Row,Accessory,,,4,8,,150,8,y,n,,
22-Nov,16,9,11,2ct Pause Squat,Squat,Pause,n,1+1R,3,,290,8.5,y,n,,
22-Nov,16,9,11,Competition Pause Bench,Bench,Competition,n,5,3,,205,7,y,n,,
22-Nov,16,9,11,Close Grip Bench,Bench,Close Grip,n,1+1R,2,,230,9,y,n,,
22-Nov,16,9,11,Competition Deadlift,Deadlift,Competition,n,3,4,,160,7,y,n,,
22-Nov,16,9,11,Pulldown,Accessory,,,4,8,,155,8,y,n,,
23-Nov,16,9,11,2ct Pause Deadlift,Deadlift,Pause,y,1+1R,3,,174,8,y,n,,
23-Nov,16,9,11,Dumbell Bench,Bench,Dumbell,n,1+1F,6,,110,10,y,n,,
23-Nov,16,9,11,Barbell Overhead Press,Accessory,,,1+1R,5,,115,10,y,n,,
23-Nov,16,9,11,1-Arm DB Row,Accessory,,,5,8,,70,9,y,n,,
26-Nov,17,10,13,Competition Squat,Squat,Competition,n,1,2,,315,8.5,y,n,,
26-Nov,17,10,13,Competition Squat,Squat,Competition,n,6,5,,240,5,y,n,,
26-Nov,17,10,13,Competition Pause Bench,Bench,Competition,n,1,2,,245,9,y,n,,
26-Nov,17,10,13,Competition Pause Bench,Bench,Competition,n,7,5,,190,7,y,n,,
26-Nov,17,10,13,Overhead Press,Accessory,,,1+1F,7,,95,9,y,n,,
27-Nov,17,10,13,Competition Deadlift,Deadlift,Competition,n,1,2,,195,8.5,y,n,November_27_Deadlift.MOV,
27-Nov,17,10,13,Competition Deadlift,Deadlift,Competition,n,6,5,,160,9,y,n,,
27-Nov,17,10,13,2ct Pause Bench,Bench,Pause,y,1+2R,5,,195,8.5,y,n,,
29-Nov,17,10,13,Pin Squat,Squat,Pin,n,1,2,,290,8,y,n,,
29-Nov,17,10,13,Pin Squat,Squat,Pin,n,1+1F,5,,245,7.5,y,n,,
29-Nov,17,10,13,Close Grip Bench,Bench,Close Grip,n,1+1F,2,,235,9,y,n,,
29-Nov,17,10,13,Feet Up Bench,Bench,Feet Up,n,1+1F,6,,190,9,y,n,,
30-Nov,17,10,13,2ct Pause Deadlift,Deadlift,Pause,y,1,2,,185,9,y,n,,
30-Nov,17,10,13,2ct Pause Deadlift,Deadlift,Pause,y,1+2R,4,,150,8,y,n,,
30-Nov,17,10,13,Touch and Go Bench,Bench,Touch and Go,n,1+3R,4,,225,9,y,n,,
3-Dec,18,11,14,Competition Squat,Squat,Competition,n,1,1,,330,8.5,y,n,,
3-Dec,18,11,14,Competition Squat,Squat,Competition,n,4,4,,255,6,y,n,,
3-Dec,18,11,14,Competition Pause Bench,Bench,Competition,n,1,1,,260,9,y,n,,
3-Dec,18,11,14,Competition Pause Bench,Bench,Competition,n,5,4,,205,7,y,n,,
3-Dec,18,11,14,Overhead Press,Accessory,,,1+2R,6,,100,8.5,y,n,,
4-Dec,18,11,14,Competition Deadlift,Deadlift,Competition,n,1,1,,202,9,y,n,,
4-Dec,18,11,14,Competition Deadlift,Deadlift,Competition,n,4,4,,157,6.5,y,n,,
4-Dec,18,11,14,2ct Pause Bench,Bench,Pause,y,1+2F,2,,225,8.5,y,n,,
6-Dec,18,11,14,Pin Squat,Squat,Pin,n,1,1,,315,9,y,n,,
6-Dec,18,11,14,Pin Squat,Squat,Pin,n,1+1F,2,,300,9,y,n,,
6-Dec,18,11,14,Close Grip Bench,Bench,Close Grip,n,1+2R,3,,235,9,y,n,,
6-Dec,18,11,14,Feet Up Bench,Bench,Feet Up,n,1+1F,3,,210,9,y,n,,
7-Dec,18,11,14,2ct Pause Deadlift,Deadlift,Pause,y,1,1,,195,9,y,n,,
7-Dec,18,11,14,2ct Pause Deadlift,Deadlift,Pause,y,1+2F,2,,175,8,y,n,,
7-Dec,18,11,14,Touch and Go Bench,Bench,Touch and Go,n,1+1F,3,,245,9,y,n,,
10-Dec,19,12,15,Competition Squat,Squat,Competition,n,1,1,,340,8,y,n,December_10_2018_Squat.MOV,
10-Dec,19,12,15,Competition Squat,Squat,Competition,n,3,3,,285,6,y,n,,
10-Dec,19,12,15,Competition Pause Bench,Bench,Competition,n,1,1,,260,8.5,y,n,December_10_2018_Bench.MOV,
10-Dec,19,12,15,Competition Pause Bench,Bench,Competition,n,4,3,,215,7,y,n,,
10-Dec,19,12,15,Overhead Press,Accessory,,,1+1F,5,,115,9.5,y,n,,
11-Dec,19,12,15,Competition Deadlift,Deadlift,Competition,n,1,1,,205,8.5,y,n,December_11_2018_Deadlift.MOV,
11-Dec,19,12,15,Competition Deadlift,Deadlift,Competition,n,3,3,,175,7,y,n,,
11-Dec,19,12,15,2ct Pause Bench,Bench,Pause,y,1+2R,4,,215,8.5,y,n,,
11-Dec,19,12,15,Front Squat,Squat,Front,n,1+1R,2,,205,7,y,n,,
13-Dec,19,12,15,Pin Squat,Squat,Pin,n,1,1,,315,9,y,n,,
13-Dec,19,12,15,Pin Squat,Squat,Pin,n,1+1F,4,,285,7,y,n,,
13-Dec,19,12,15,Close Grip Bench,Bench,Close Grip,n,1+1F,4,,230,9,y,n,,
13-Dec,19,12,15,Feet Up Bench,Bench,Feet Up,n,1+1F,4,,205,9,y,n,,
14-Dec,19,12,15,2ct Pause Deadlift,Deadlift,Pause,y,1,1,,190,9,y,n,,
14-Dec,19,12,15,2ct Pause Deadlift,Deadlift,Pause,y,1+1F,4,,150,7,y,n,,
17-Dec,20,13,16,Competition Squat,Squat,Competition,n,1,1,,340,8.5,y,n,,
17-Dec,20,13,16,Competition Squat,Squat,Competition,n,3,2,,290,6,y,n,,
17-Dec,20,13,16,Competition Pause Bench,Bench,Competition,n,1,1,,260,8.5,y,n,,
17-Dec,20,13,16,Competition Pause Bench,Bench,Competition,n,3,2,,230,7,y,n,,
18-Dec,20,13,16,Competition Deadlift,Deadlift,Competition,n,1,1,,205,8.5,y,n,December_18_2018_Deadlift.MOV,
18-Dec,20,13,16,Competition Deadlift,Deadlift,Competition,n,2,2,,175,6,y,n,,
18-Dec,20,13,16,Competition Pause Bench,Bench,Competition,n,4,1,,230,7,y,n,,
19-Dec,20,13,16,Competition Squat,Squat,Competition,n,1,1,,295,6,y,n,,
19-Dec,20,13,16,Competition Squat,Squat,Competition,n,2,2,,270,5,y,n,,
19-Dec,20,13,16,Competition Pause Bench,Bench,Competition,n,1,1,,235,6,y,n,,
19-Dec,20,13,16,Competition Pause Bench,Bench,Competition,n,3,2,,205,5,y,n,,
19-Dec,20,13,16,Competition Deadlift,Deadlift,Competition,n,1,1,,175,6,y,n,,
19-Dec,20,13,16,Competition Deadlift,Deadlift,Competition,n,2,2,,160,5,y,n,,
22-Dec,21,14,17,Competition Squat,Squat,Competition,n,1,1,,340,8,y,n,December_22_2018_Squat1.MOV,
22-Dec,21,14,17,Competition Squat,Squat,Competition,n,1,1,,355,8.5,y,n,December_22_2018_Squat2.MOV,
22-Dec,21,14,17,Competition Squat,Squat,Competition,n,1,1,,370,9,y,y,December_22_2018_Squat3.MOV,"<iframe width=""640"" height=""451"" src=""https://www.youtube.com/embed/DBYPj-epWY8?list=PLyFPnJh9hyRXqiE9SivYG6k4BP8qpzuIv"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
22-Dec,21,14,17,Competition Pause Bench,Bench,Competition,n,1,1,,260,9,y,n,December_22_2018_Bench1.MOV,
22-Dec,21,14,17,Competition Pause Bench,Bench,Competition,n,1,1,,270,9.5,y,n,December_22_2018_Bench2.MOV,
22-Dec,21,14,17,Competition Pause Bench,Bench,Competition,n,1,1,,280,10,y,y,December_22_2018_Bench3.MOV,"<iframe width=""640"" height=""451"" src=""https://www.youtube.com/embed/9nIeOpmJOjc?list=PLyFPnJh9hyRXqiE9SivYG6k4BP8qpzuIv"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
22-Dec,21,14,17,Competition Deadlift,Deadlift,Competition,n,1,1,,205,9,y,n,December_22_2018_Deadlift1.MOV,
22-Dec,21,14,17,Competition Deadlift,Deadlift,Competition,n,1,1,,216,9.5,y,y,December_22_2018_Deadlift2.MOV,"<iframe width=""640"" height=""451"" src=""https://www.youtube.com/embed/tOg4VwKb1qo?list=PLyFPnJh9hyRXqiE9SivYG6k4BP8qpzuIv"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
22-Dec,21,14,17,Competition Deadlift,Deadlift,Competition,n,1,1,,227,10,n,y,December_22_2018_Deadlift3.MOV,"<iframe width=""640"" height=""451"" src=""https://www.youtube.com/embed/p725rMxhwOk?list=PLyFPnJh9hyRXqiE9SivYG6k4BP8qpzuIv"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
14-Jan,22,1,1,Competition Squat,Squat,Competition,n,4,7,67%,250,,,,,
14-Jan,22,1,1,Competition Pause Bench,Bench,Competition,n,4,7,67%,190,,,,,
14-Jan,22,1,1,Overhead Press,Accessory,,,3,8,,,,,,,
14-Jan,22,1,1,Bent Over Row,Accessory,,,3,12,,,,,,,
14-Jan,22,1,1,GHR Back Extensions,Accessory,,,4,12,,,,,,,
15-Jan,22,1,2,Competition Deadlift,Deadlift,Competition,n,4,7,67%,147,,,,,
15-Jan,22,1,2,3ct Pause Bench,Bench,Pause,y,3,5,60%,170,,,,,
15-Jan,22,1,2,Ball Leg Extension,Accessory,,,4,10,8RPE,,,,,,
15-Jan,22,1,2,Wide Grip Seated Row,Accessory,,,5,8,,,,,,,
17-Jan,22,1,3,Pin Squat,Squat,Pin,n,3,6,65%,210,,,,,
17-Jan,22,1,3,2Board Bench,Bench,2 Board,n,3,6,8RPE,,,,,,
17-Jan,22,1,3,1-Arm DB Row,Accessory,,,5,10,,,,,,,
17-Jan,22,1,3,Birddog,Accessory,,,3,6,,,,,,,
18-Jan,22,1,4,2ct Pause Deadlift,Deadlift,Pause,y,3,6,63%,135,,,,,
18-Jan,22,1,4,Touch and Go Bench,Bench,Touch and Go,n,4,10,63%,180,,,,,
18-Jan,22,1,4,Straight Leg Deadlift,Deadlift,Straight Leg,n,3,8,40%,85,,,,,
18-Jan,22,1,4,Pulldown,Accessory,,,4,10,,,,,,,
18-Jan,22,1,4,Pushdown,Accessory,,,4,10,,,,,,,
,23,2,1,Competition Squat,Squat,Competition,n,4,6,70%,265,,,,,
,23,2,1,Competition Pause Bench,Bench,Competition,n,4,6,70%,200,,,,,
,23,2,1,Overhead Press,Accessory,,,3,8,,,,,,,
,23,2,1,Bent Over Row,Accessory,,,3,12,,,,,,,
,23,2,1,GHR Back Extensions,Accessory,,,4,12,,,,,,,
,23,2,2,Competition Deadlift,Deadlift,Competition,n,4,6,70%,154,,,,,
,23,2,2,3ct Pause Bench,Bench,Pause,y,3,6,60%,170,,,,,
,23,2,2,Ball Leg Extension,Accessory,,,4,10,8RPE,,,,,,
,23,2,2,Wide Grip Seated Row,Accessory,,,5,8,,,,,,,
