Date,Total Lifting Weeks,Week,Cycle Week,Exercise,Focus,Type,Pause,Sets,Reps,Intensity,Weight,RPE,All_Reps,uploaded_video,video_name,vid_url
,27,6,3,Pulldown,Accessory,,,4,10,,,,,,,
,27,6,4,2ct Pause Deadlift,Deadlift,Pause,y,5,3,8RPE,,,,,,
,27,6,4,Touch and Go Bench,Bench,Touch and Go,n,3,12,10RPE,,,,,,
,27,6,4,Close Grip Incline Bench,Bench,Incline,n,4,7,,,,,,,
,27,6,4,1-Arm DB Row,Accessory,,,6,10,,,,,,,
,28,7,1,Competition Squat,Squat,Competition,n,5,2,86%,325,,,,,
,28,7,1,Competition Squat,Squat,Competition,n,2,4,72%,270,,,,,
,28,7,1,Competition Pause Bench,Bench,Competition,n,5,2,86%,245,,,,,
,28,7,1,Competition Pause Bench,Bench,Competition,n,2,4,72%,205,,,,,
,28,7,1,Straight Leg Deadlift,Deadlift,Straight Leg,n,4,8,8RPE,,,,,,
,28,7,1,Side Plank,Accessory,,,4,x,45s,,,,,,
,28,7,2,Competition Deadlift,Deadlift,Competition,n,5,2,86%,189,,,,,
,28,7,2,Competition Deadlift,Deadlift,Competition,n,2,4,72%,158,,,,,
,28,7,2,2ct Pause Bench,Bench,Pause,y,3,3,8RPE,,,,,,
,28,7,2,Competition Squat,Squat,Competition,n,2,5,71%,265,,,,,
,28,7,2,Wide Grip Seated Row,Accessory,,,4,8,,,,,,,
,28,7,3,2ct Pause Squat,Squat,Pause,y,4,5,9RPE,,,,,,
,28,7,3,Competition Pause Bench,Bench,Competition,n,6,3,75%,215,,,,,
,28,7,3,Feet Up Bench,Bench,Feet Up,n,4,3,8RPE,,,,,,
,28,7,3,Competition Deadlift,Deadlift,Competition,n,2,5,71%,156,,,,,
,28,7,3,Pulldown,Accessory,,,4,8,,,,,,,
,28,7,4,2ct Pause Deadlift,Deadlift,Pause,y,4,5,8RPE,,,,,,
,28,7,4,Touch and Go Bench,Bench,Touch and Go,n,4,7,8RPE,,,,,,
,28,7,4,Close Grip Incline Bench,Bench,Incline,n,5,6,,,,,,,
,28,7,4,1-Arm DB Row,Accessory,,,6,8,,,,,,,
,29,8,1,Competition Squat,Squat,Competition,n,4,3,85%,320,,,,,
,29,8,1,Competition Squat,Squat,Competition,n,3,4,75%,280,,,,,
,29,8,1,Competition Pause Bench,Bench,Competition,n,5,3,85%,240,,,,,
,29,8,1,Competition Pause Bench,Bench,Competition,n,3,4,75%,215,,,,,
,29,8,1,Straight Leg Deadlift,Deadlift,Straight Leg,n,4,7,8RPE,,,,,,
,29,8,1,Side Plank,Accessory,,,4,x,45s,,,,,,
,29,8,2,Competition Deadlift,Deadlift,Competition,n,4,3,85%,187,,,,,
,29,8,2,Competition Deadlift,Deadlift,Competition,n,3,4,75%,165,,,,,
,29,8,2,2ct Pause Bench,Bench,Pause,y,4,4,8RPE,,,,,,
,29,8,2,Competition Squat,Squat,Competition,n,2,4,74%,280,,,,,
,29,8,2,Wide Grip Seated Row,Accessory,,,4,8,,,,,,,
,29,8,3,2ct Pause Squat,Squat,Pause,y,4,2,9RPE,,,,,,
,29,8,3,Competition Pause Bench,Bench,Competition,n,6,5,68%,195,,,,,
,29,8,3,Feet Up Bench,Bench,Feet Up,n,4,4,8RPE,,,,,,
,29,8,3,Competition Deadlift,Deadlift,Competition,n,2,4,74%,163,,,,,
,29,8,3,Pulldown,Accessory,,,4,8,,,,,,,
,29,8,4,2ct Pause Deadlift,Deadlift,Pause,y,4,2,9RPE,,,,,,
,29,8,4,Touch and Go Bench,Bench,Touch and Go,n,4,5,8RPE,,,,,,
,29,8,4,Close Grip Incline Bench,Bench,Incline,n,4,10,,,,,,,
,29,8,4,1-Arm DB Row,Accessory,,,6,8,,,,,,,
,30,9,1,Competition Squat,Squat,Competition,n,5,4,82%,310,,,,,
,30,9,1,Competition Squat,Squat,Competition,n,2,4,71%,265,,,,,
,30,9,1,Competition Pause Bench,Bench,Competition,n,6,4,82%,235,,,,,
,30,9,1,Competition Pause Bench,Bench,Competition,n,2,4,71%,200,,,,,
,30,9,1,Bent Over Row,Accessory,,,4,8,8RPE,,,,,,
,30,9,1,Plank,Accessory,,,3,20,,,,,,,
,30,9,2,Competition Deadlift,Deadlift,Competition,n,4,4,82%,180,,,,,
,30,9,2,Competition Deadlift,Deadlift,Competition,n,2,4,71%,156,,,,,
,30,9,2,Pin Bench,Bench,Pin,n,4,4,8RPE,,,,,,
,30,9,2,Competition Squat,Squat,Competition,n,3,5,68%,255,,,,,
,30,9,2,Wide Grip Seated Row,Accessory,,,4,8,,,,,,,
,30,9,3,2ct Pause Squat,Squat,Pause,n,1+2F,4,9RPE,,,,,,
,30,9,3,Competition Pause Bench,Bench,Competition,n,6,5,72%,205,,,,,
,30,9,3,Close Grip Bench,Bench,Close Grip,n,1+2R,4,8RPE,,,,,,
,30,9,3,Competition Deadlift,Deadlift,Competition,n,2,5,68%,150,,,,,
,30,9,3,Pulldown,Accessory,,,4,8,,,,,,,
,30,9,4,2ct Pause Deadlift,Deadlift,Pause,y,1+2F,4,9RPE,,,,,,
,30,9,4,Dumbell Bench,Bench,Dumbell,n,1+1F,8,9RPE,,,,,,
,30,9,4,Barbell Overhead Press,Accessory,,,1+3R,7,8RPE,,,,,,
,30,9,4,1-Arm DB Row,Accessory,,,5,8,,,,,,,
,31,10,1,Competition Squat,Squat,Competition,n,6,3,85%,320,,,,,
,31,10,1,Competition Squat,Squat,Competition,n,2,4,74%,280,,,,,
,31,10,1,Competition Pause Bench,Bench,Competition,n,7,4,85%,240,,,,,
,31,10,1,Competition Pause Bench,Bench,Competition,n,2,4,74%,210,,,,,
,31,10,1,Bent Over Row,Accessory,,,4,6,8RPE,,,,,,
,31,10,1,Plank,Accessory,,,4,20,,,,,,,
,31,10,2,Competition Deadlift,Deadlift,Competition,n,5,3,85%,187,,,,,
,31,10,2,Competition Deadlift,Deadlift,Competition,n,2,4,74%,163,,,,,
,31,10,2,Pin Bench,Bench,Pin,n,4,5,8RPE,,,,,,
,31,10,2,Competition Squat,Squat,Competition,n,3,5,71%,265,,,,,
,31,10,2,Wide Grip Seated Row,Accessory,,,4,8,,,,,,,
,31,10,3,2ct Pause Squat,Squat,Pause,n,1+3F,2,9RPE,,,,,,
,31,10,3,Competition Pause Bench,Bench,Competition,n,6,4,75%,215,,,,,
,31,10,3,Close Grip Bench,Bench,Close Grip,n,1+1F,3,9RPE,,,,,,
,31,10,3,Competition Deadlift,Deadlift,Competition,n,3,5,71%,156,,,,,
,31,10,3,Pulldown,Accessory,,,4,8,,,,,,,
,31,10,4,2ct Pause Deadlift,Deadlift,Pause,y,1+3F,2,9RPE,,,,,,
,31,10,4,Dumbell Bench,Bench,Dumbell,n,1+1F,7,9RPE,,,,,,
,31,10,4,Barbell Overhead Press,Accessory,,,1+2R,8,8RPE,,,,,,
,31,10,4,1-Arm DB Row,Accessory,,,5,8,,,,,,,
,32,11,1,Competition Squat,Squat,Competition,n,3,3,83%,310,,,,,
,32,11,1,Competition Squat,Squat,Competition,n,2,4,76%,285,,,,,
,32,11,1,Competition Pause Bench,Bench,Competition,n,3,3,83%,235,,,,,
,32,11,1,Competition Pause Bench,Bench,Competition,n,2,4,76%,215,,,,,
,32,11,1,Bent Over Row,Accessory,,,4,5,8RPE,,,,,,
,32,11,1,Plank,Accessory,,,4,24,,,,,,,
,32,11,2,Competition Deadlift,Deadlift,Competition,n,3,3,83%,183,,,,,
,32,11,2,Competition Deadlift,Deadlift,Competition,n,2,4,76%,167,,,,,
,32,11,2,Pin Bench,Bench,Pin,n,4,3,8RPE,,,,,,
,32,11,2,Competition Squat,Squat,Competition,n,3,4,74%,280,,,,,
,32,11,2,Wide Grip Seated Row,Accessory,,,4,8,,,,,,,
,32,11,3,2ct Pause Squat,Squat,Pause,n,1+1R,3,8RPE,,,,,,
,32,11,3,Competition Pause Bench,Bench,Competition,n,5,3,78%,220,,,,,
,32,11,3,Close Grip Bench,Bench,Close Grip,n,1+1R,2,8RPE,,,,,,
,32,11,3,Competition Deadlift,Deadlift,Competition,n,3,4,74%,163,,,,,
,32,11,3,Pulldown,Accessory,,,4,8,,,,,,,
,32,11,4,2ct Pause Deadlift,Deadlift,Pause,y,1+1R,3,8RPE,,,,,,
,32,11,4,Dumbell Bench,Bench,Dumbell,n,1+1F,6,9RPE,,,,,,
,32,11,4,Barbell Overhead Press,Accessory,,,1+1R,5,8RPE,,,,,,
,32,11,4,1-Arm DB Row,Accessory,,,5,8,,,,,,,
,33,12,1,Competition Squat,Squat,Competition,n,1,3,8RPE,,,,,,
,33,12,1,Competition Squat,Squat,Competition,n,6,5,65%,,,,,,
,33,12,1,Competition Pause Bench,Bench,Competition,n,1,3,8RPE,,,,,,
,33,12,1,Competition Pause Bench,Bench,Competition,n,7,5,65%,,,,,,
,33,12,1,Overhead Press,Accessory,,,1+2F,6,9RPE,,,,,,
,33,12,2,Competition Deadlift,Deadlift,Competition,n,1,3,8RPE,,,,,,
,33,12,2,Competition Deadlift,Deadlift,Competition,n,6,5,65%,,,,,,
,33,12,2,2ct Pause Bench,Bench,Pause,y,1+2F,4,9RPE,,,,,,
,33,12,2,Front Squat,Squat,Front,n,1+2R,4,8RPE,,,,,,
,33,12,3,Pin Squat,Squat,Pin,n,1,3,8RPE,,,,,,
,33,12,3,Pin Squat,Squat,Pin,n,1+1F,4,9RPE,,,,,,
,33,12,3,Close Grip Bench,Bench,Close Grip,n,1+2F,3,9RPE,,,,,,
,33,12,3,Feet Up Bench,Bench,Feet Up,n,1+1F,5,9RPE,,,,,,
,33,12,4,2ct Pause Deadlift,Deadlift,Pause,y,1,3,8RPE,,,,,,
,33,12,4,2ct Pause Deadlift,Deadlift,Pause,y,1+2F,5,9RPE,,,,,,
,33,12,4,Touch and Go Bench,Bench,Touch and Go,n,1+3R,5,8RPE,,,,,,
,34,13,1,Competition Squat,Squat,Competition,n,1,2,8RPE,,,,,,
,34,13,1,Competition Squat,Squat,Competition,n,6,5,68%,,,,,,
,34,13,1,Competition Pause Bench,Bench,Competition,n,1,2,8RPE,,,,,,
,34,13,1,Competition Pause Bench,Bench,Competition,n,7,5,68%,,,,,,
,34,13,1,Overhead Press,Accessory,,,1+1F,7,9RPE,,,,,,
,34,13,2,Competition Deadlift,Deadlift,Competition,n,1,2,8RPE,,,,,,
,34,13,2,Competition Deadlift,Deadlift,Competition,n,6,5,68%,,,,,,
